Year,Description, Baksa, Barpeta, Bongaigaon, Cachar, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Goalpara, Golaghat, Hailakandi, Jorhat, Kamrup, Kamrup Metropolitan, Karbi Anglong, Karimganj, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, North Cachar Hills, Sivsagar, Sonitpur, Tinsukia, Udalguri
1999-00,GDP (in Rs. Cr.),NA,2496.55,774.07,1795.82,NA,1273,490.9,1233.33,2469.35,690.76,1301.63,482.15,1968.38,NA,NA,863.49,977.87,1025.66,822.55,723.08,1933.73,1066.84,353.48,2523.9,1624.76,2061.17,NA
2000-01,GDP (in Rs. Cr.),NA,2491.58,788.41,1842.9,NA,1299.28,500.25,1258.65,2530.29,703.76,1326.24,495.61,2045.71,NA,NA,896.94,990.9,1066.2,845.08,741.5,1965.36,1077.86,361.91,2589.01,1662.02,2140.23,NA
2001-02,GDP (in Rs. Cr.),NA,2524.91,819.74,1900.02,NA,1333.94,511.35,1298.91,2545.7,731.25,1361.96,509.97,2098.03,NA,NA,912.38,1032.48,1099.21,862.7,760.38,2028.57,1131.61,366.32,2594.77,1720.29,2179.84,NA
2002-03,GDP (in Rs. Cr.),NA,2627.54,880.47,2043.83,NA,1408.82,541.71,1383.24,2673.99,786.36,1462.89,541.97,2242.36,NA,NA,968.77,1123.48,1188.45,907.65,809.56,2180.4,1232.5,384.81,2738.68,1852.4,2325.98,NA
2003-04,GDP (in Rs. Cr.),NA,2738.64,940.1,2165.76,NA,1491.69,569.96,1475.12,2816.74,839.16,1533.13,576.8,2375.48,NA,NA,1027.17,1206.24,1265.83,959.4,847.17,2317.54,1325.93,404.68,2860.79,1974.05,2476.53,NA
2004-05,GDP (in Rs. Cr.),1025.94,1497.38,1248.78,2423.64,547.86,1179.71,680.11,1323.03,2759.06,1055.84,1374.54,826.98,2256.15,2574.8,3427.08,1309.75,1550.13,1479.03,1198.8,983.75,2434.73,1078.91,486.2,2693.1,2092.06,2597.14,1034.51
2005-06,GDP (in Rs. Cr.),1059.03,1571.27,1302.93,2266.33,578.1,1230.87,707.54,1385.12,2939.59,1112.77,1683.17,862.5,2336.68,2778.6,3407.66,1476.13,1634.9,1506.18,1272.77,1071.31,2551.3,1130.21,506.66,2889.89,2186.38,2784.14,1050.36
2006-07,GDP (in Rs. Cr.),1132.28,1677.05,1402.05,2435.4,570.37,1313.34,747.11,1478.07,3123.54,1194.21,1807.86,915.74,2517.48,2976.59,3691.81,1561.23,1744.81,1665.12,1348.33,1141.68,2722.82,1205.99,537.4,3089.06,2330.29,2988.39,1119.54
2007-08,GDP (in Rs. Cr.),1161.31,1771.38,1495.87,2588.09,623.78,1393.08,779.61,1563.47,3300.62,1270.88,1916.2,972.08,2686.84,3176.85,3990.94,1635.2,1851.25,1744.23,1412.63,1213.38,2873.12,1280.26,566.44,3265.91,2455.63,3167.13,1215.93
2000-01,Growth Rate % (YoY),NA,-0.199074723,1.852545635,2.621643595,NA,2.064414768,1.904664901,2.052978522,2.467855913,1.88198506,1.890706268,2.791662346,3.928611345,NA,NA,3.873814404,1.332487959,3.952576877,2.739043219,2.547435968,1.635698882,1.032957144,2.384859115,2.579737708,2.293261774,3.835685557,NA
2001-02,Growth Rate % (YoY),NA,1.337705392,3.973820728,3.099462803,NA,2.667631303,2.218890555,3.198665237,0.6090211,3.906161191,2.693328508,2.897439519,2.557547257,NA,NA,1.721408344,4.196185286,3.096042018,2.085009703,2.546190155,3.216204665,4.986732971,1.218534995,0.222478863,3.505974657,1.850735669,NA
2002-03,Growth Rate % (YoY),NA,4.064699336,7.408446581,7.568867696,NA,5.613445882,5.937224993,6.492366677,5.039478336,7.536410256,7.410643484,6.274878914,6.879310591,NA,NA,6.180538811,8.813730048,8.118557873,5.210385997,6.467818722,7.484582736,8.915615804,5.047499454,5.546156307,7.679519151,6.704161773,NA
2003-04,Growth Rate % (YoY),NA,4.228289579,6.772519223,5.965760362,NA,5.88222768,5.214967418,6.642375871,5.338464243,6.714481917,4.801454655,6.426554975,5.936602508,NA,NA,6.028262642,7.366397266,6.511001725,5.701536936,4.645733485,6.28967162,7.580527383,5.163587225,4.458717338,6.567156122,6.472540607,NA
2004-05,Growth Rate % (YoY),NA,-45.32395642,32.83480481,11.90713652,NA,-20.91453318,19.32591761,-10.31034763,-2.047757336,25.82105915,-10.34419782,43.37378641,-5.023405796,NA,NA,27.51053866,28.50925189,16.842704,24.95309568,16.12191178,5.056654901,-18.62994276,20.14431155,-5.861667581,5.978065399,4.870120693,NA
2005-06,Growth Rate % (YoY),3.225334815,4.934619135,4.336232163,-6.490650427,5.519658307,4.336659009,4.033171105,4.693015276,6.5431705,5.391915442,22.45332984,4.295146195,3.569354874,7.915177878,-0.566663165,12.70318763,5.468573604,1.835662563,6.170337004,8.900635324,4.787799879,4.754798825,4.208144796,7.307192455,4.5084749,7.200227943,1.532126321
2006-07,Growth Rate % (YoY),6.916706798,6.732133879,7.607469319,7.460078629,-1.337138903,6.700138926,5.592616672,6.710609911,6.25767539,7.318673221,7.408045533,6.172753623,7.737473681,7.125530843,8.338566641,5.765074892,6.722735335,10.5525236,5.936657841,6.568593591,6.722847176,6.704948638,6.067185095,6.891957825,6.582112899,7.336197174,6.586313264
2007-08,Growth Rate % (YoY),2.563853464,5.624757759,6.691630113,6.269606635,9.36409699,6.071542784,4.350095702,5.77780484,5.669208654,6.420143861,5.992720675,6.152401337,6.727362283,6.727832856,8.102529653,4.73793099,6.100377692,4.751008936,4.768862222,6.280218625,5.52001234,6.158425858,5.403796055,5.72504257,5.378729686,5.981147039,8.609786162
