Year,Description, Araria, Arwal, Aurangabad, Banka, Begusarai, Bhabhua, Bhagalpur, Bhojpur, Buxar, East Champaran,West Champaran, Darbhanga, Gaya, Gopalgang, Jahanabad, Jamui, Katihar, Khagaria, Kisangang, Lakhisarai, Madhepura, Madhubani, Munger, Muzaffarpur, Nalanda, Nawada, Patna, Purnia, Rohtas, Saharsa, Samstipur, Saran, Sekhpura, Sheohar, Sitamarhi, Siwan, Supaul, Vaishali
1999-00,GDP (in Rs. Cr.),886.89,263.82,1000.92,681.84,1747.91,681.95,1551.67,1239.83,761.04,1764.31,1657.79,1516.72,1869.33,1020.65,457.46,624.65,1191.06,631.9,607.44,411.19,681.41,1561.3,958.73,2395.42,1269.13,810.4,10355.18,1225.58,1486.02,827.97,1666.73,1455.46,248.52,168.39,1118.78,1227.12,792.83,1382.59
2000-01,GDP (in Rs. Cr.),997.93,285.24,1074.53,717.57,1946.86,896.47,1684.2,1529.77,849.41,2279.43,2038.19,2126.33,2016.84,1122.26,499.27,662.25,1569.8,694.8,711.66,448.25,869.99,2529.11,996.76,2542.23,1393.03,859.67,11488.45,1527.32,1711.35,1023.2,2254.96,1646.46,262.24,226.68,1224.52,1257.94,829.9,1465.51
2001-02,GDP (in Rs. Cr.),930.74,282.22,1114.16,703.34,1903.94,740.21,1757.42,1484.55,761.81,1772.71,1844.03,1788.98,2033.35,1087.71,496.4,643.55,1417.85,668.87,654.27,446.66,738.16,1905.1,1056.26,2568.71,1336.64,859.99,11761.9,1388.96,1691.03,904.59,1937.7,1568.33,246.83,202,1266.27,1287.65,854.29,1340.18
2002-03,GDP (in Rs. Cr.),1005.23,286.6,1159.61,774.24,2204.41,776.55,1887.63,1393.22,808.22,2533.98,1912.41,1832.84,2171.14,1070.79,509.97,678.19,1625.86,734.22,688.08,501.56,818.26,3099.41,1058.4,2773.48,1405.74,931.53,13552.04,1451.76,1745.07,984.5,1904.18,1764.23,278.45,207.18,1358.46,1365.32,999.46,1723.93
2003-04,GDP (in Rs. Cr.),996.64,306.42,1166.92,804.49,1870.7,806.52,2001.88,1395.24,793.2,2066.7,1901.3,1782.71,2259,1122.66,531.64,695.09,1519.01,757.99,698.85,495.19,804.1,1648.35,1140.55,2674.25,1425.31,942.44,13721.33,1485.47,1780.25,971.52,1756.84,1716.05,284.59,225.61,1210.44,1370.59,853.93,1401.9
2004-05,GDP (in Rs. Cr.),1070.77,297.04,1143.37,902.66,2341.95,755.77,2129.27,1372.55,795.02,2287.2,1996.95,1976.4,2245.12,1166.47,521.47,742.89,1744.11,849.49,762.6,516.29,885.74,2598.6,1197.71,3030.51,1408.66,911.29,15923.88,1549.85,1864.24,1063.62,2074.98,1830.9,273.45,204.74,1262.8,1440.29,1032.2,1737.73
2000-01,Growth Rate % (YoY),12.5201547,8.119172163,7.354234105,5.240232313,11.38216499,31.45685168,8.541120212,23.38546414,11.61174183,29.19668312,22.94621152,40.19265257,7.891062573,9.955420565,9.139596905,6.019370848,31.79856598,9.954106662,17.1572501,9.012865099,27.67496808,61.98744636,3.966705955,6.128779087,9.762593273,6.079713722,10.94399132,24.62017983,15.16332216,23.57935674,35.29245889,13.12299891,5.52068244,34.61606984,9.451366667,2.51157181,4.675655563,5.997439588
2001-02,Growth Rate % (YoY),-6.73293718,-1.058757538,3.68812411,-1.98308179,-2.204575573,-17.43058887,4.347464672,-2.955999922,-10.31304082,-22.23011893,-9.526099137,-15.86536427,0.818607326,-3.078609235,-0.574839265,-2.823707059,-9.679577016,-3.732009211,-8.064244162,-0.354712772,-15.15304774,-24.67310635,5.969340664,1.041605205,-4.048010452,0.037223586,2.380216652,-9.059005317,-1.187366699,-11.59206411,-14.06942917,-4.74533241,-5.876296522,-10.88759485,3.409499232,2.36179786,2.938908302,-8.551971669
2002-03,Growth Rate % (YoY),8.003309195,1.551980724,4.079306383,10.08047317,15.78148471,4.909417598,7.409156605,-6.152032602,6.092070201,42.94385432,3.708182622,2.451676374,6.776501832,-1.555561685,2.733682514,5.382643151,14.67080439,9.770209458,5.167591361,12.29122823,10.85130595,62.6901475,0.202601632,7.971705642,5.169679196,8.31870138,15.21981993,4.521368506,3.19568547,8.833836324,-1.729885947,12.4909936,12.81043633,2.564356436,7.280437821,6.031918611,16.99305856,28.63421331
2003-04,Growth Rate % (YoY),-0.854530804,6.915561759,0.630384353,3.907057243,-15.13829097,3.859378018,6.052563267,0.14498787,-1.85840489,-18.44055596,-0.580942371,-2.735099627,4.046721999,4.844087076,4.249269565,2.491927041,-6.57190656,3.237449266,1.565224974,-1.270037483,-1.730501308,-46.81729749,7.761715797,-3.577815596,1.392149331,1.171191481,1.249184625,2.322009148,2.015964976,-1.318435754,-7.737713872,-2.730936443,2.205063746,8.895646298,-10.89616183,0.385990098,-14.56086287,-18.67999281
2004-05,Growth Rate % (YoY),7.437991652,-3.061157888,-2.018133205,12.202762,25.19110493,-6.292466399,6.363518293,-1.626243514,0.229450328,10.66918276,5.030768422,10.86491914,-0.614431164,3.902339088,-1.912948612,6.87680732,14.81886229,12.07139936,9.122129212,4.260990731,10.15296605,57.64855765,5.011617202,13.32186594,-1.168166925,-3.305250202,16.05201537,4.333981837,4.717876703,9.479990119,18.10864962,6.692695434,-3.914403176,-9.250476486,4.325699746,5.085401178,20.87641844,23.95534632
