Year,Description, Baster, Bilaspur, Damtari, Dantewara, Durg, Janjgir Champa, Jashpur, Kanker, Kawardha, Korba, Koriya, Mahasamund, Raigarh, Raipur, Rajnangaon, Surguja
1999-00,GDP (in Rs. Cr.),1166.66,2379.56,748.12,851.55,3981.49,1151.22,740.52,605.55,501.78,4668.65,896.67,779.07,1264.57,4224.67,1456.61,1832.01
2000-01,GDP (in Rs. Cr.),1010.89,2193.56,693.02,735.31,3689.41,1077.87,665.47,524.39,412.2,4674.3,900.5,708.79,1319.52,4122.75,1296.67,1813.11
2001-02,GDP (in Rs. Cr.),1344.05,2557.56,837.18,890.47,4090.38,1299.02,775.22,658.5,529.68,4752.22,938.46,905.37,1501.5,4646.69,1570.57,1950.47
2002-03,GDP (in Rs. Cr.),1252.98,2491.59,813.32,877.98,4157.56,1230.08,745.79,583.92,494.02,4961.98,996.42,786.65,1534.53,4795.55,1482.49,2025.75
2003-04,GDP (in Rs. Cr.),1607.66,2902.65,998.94,1047.08,4937.4,1408.24,908.76,826.76,558.08,5229.77,1118.83,1044.92,1857.26,5623.57,1757.14,2241.49
2004-05,GDP (in Rs. Cr.),1565.11,3066.72,1057.15,1032.91,5264.94,1520.22,921.24,819.53,552.87,5953.75,1169.91,1057.7,2052.39,6158.53,1826.84,2301.14
2005-06,GDP (in Rs. Cr.),1718.67,3415.42,1190.61,1068.86,5991.7,1748.18,835.19,887.88,625.71,6337.78,717.6,1096.52,1777.42,6972.66,2064.77,1790
2006-07,GDP (in Rs. Cr.),1825.11,3902.43,1392.09,1224.28,6710.02,2076.04,1074.95,1036.23,702.41,6657.9,1318.42,1224.36,3179.23,7833.64,2228.52,2663.03
2000-01,Growth Rate % (YoY),-13.35179058,-7.816571131,-7.365128589,-13.65040221,-7.335947095,-6.371501537,-10.13477016,-13.40269177,-17.85244529,0.121019995,0.427135959,-9.021012233,4.345350593,-2.412496124,-10.98028985,-1.031653757
2001-02,Growth Rate % (YoY),32.95709721,16.5940298,20.80170846,21.10130421,10.86813339,20.51731656,16.49210333,25.57447701,28.5007278,1.66698757,4.215435869,27.73458993,13.79137868,12.70850767,21.12333901,7.575933065
2002-03,Growth Rate % (YoY),-6.775789591,-2.579411627,-2.850044196,-1.402630072,1.642390194,-5.307077643,-3.796341684,-11.32574032,-6.732366712,4.413937065,6.176075698,-13.11287098,2.1998002,3.203570714,-5.608155001,3.859582562
2003-04,Growth Rate % (YoY),28.30691631,16.49789893,22.82250529,19.26011982,18.75715564,14.48361082,21.85199587,41.58788875,12.96708635,5.396837553,12.28498023,32.83162779,21.03119522,17.26642408,18.52626325,10.64988276
2004-05,Growth Rate % (YoY),-2.646703905,5.652421064,5.827176807,-1.353287237,6.633855876,7.951769585,1.373299881,-0.874498041,-0.933557913,13.84343862,4.565483586,1.223060139,10.50633729,9.51281837,3.966673117,2.661176271
2005-06,Growth Rate % (YoY),9.811450952,11.37045443,12.62450929,3.480458123,13.80376604,14.99519806,-9.340671269,8.340146181,13.17488741,6.450220449,-38.66194836,3.670227853,-13.39755115,13.21955077,13.0241291,-22.2124686
2006-07,Growth Rate % (YoY),6.193160991,14.25915407,16.92241792,14.54072563,11.98858421,18.75436168,28.70724027,16.70833896,12.25807483,5.050979996,83.72630992,11.65870208,78.86768462,12.34794182,7.930665401,48.7726257
