Year,Description, Ambala, Bhiwani, Faridabad, Fatehabad, Gurgaon, Hisar, Jhajjar, Jind, Kaithal, Karnal, Kurukshetra, Mahindergarh, Panchkula, Panipat, Rewari, Rohtak, Sirsa, Sonipat, Yamuna Nagar
1999-00,GDP (in Rs. Cr.),2673.25,2496.47,6120.49,1942.31,7715.09,3646.78,1580.9,2383.2,1803.89,2955.71,1660.63,1119.36,1243.42,2732.45,1912.48,1781.4,2555.44,2594.76,2359.8
2000-01,GDP (in Rs. Cr.),2909.99,2546.75,7258.78,2049.04,8298.34,3963.15,1769.13,2500.61,1799.5,3123.16,1761.15,1196.17,1310.92,3044.18,2077.29,2004.09,2734.64,2725.68,2404.13
2001-02,GDP (in Rs. Cr.),3274.14,2802.6,8121.89,1988.52,9196.86,4049.91,1836.21,2668.88,1960.26,3329.01,1866.88,1313.94,1400.49,3129.69,2452.58,2132.71,2622.98,3120.12,2582.62
2002-03,GDP (in Rs. Cr.),3550.62,2788.91,7908.5,2133.55,10274.73,4321.36,1788.9,2645.69,2152.58,3575.61,2049.72,1220.59,1501.11,3787.86,2690.25,2327.23,2870.19,3347.06,2724.54
2003-04,GDP (in Rs. Cr.),3727.82,3211.96,8468.57,2335.86,12223.44,4846.2,2095.83,2900.74,2109.6,3699.14,2156.98,1501.41,1666.16,3859.52,2662.73,2329.57,3186.53,3560.29,2845.69
2004-05,GDP (in Rs. Cr.),4120.86,3200.86,9505.68,2499.67,13752.22,4812.36,2317.29,2925.07,2231.24,4017.75,2420.69,1653.17,1900.09,4430.75,3024.52,2534.07,3522.63,3719.71,3087.44
2005-06,GDP (in Rs. Cr.),4348.67,3497.54,10022.07,2393.3,14977.67,4950.7,2652.15,2970.55,2379.85,4260.04,2423.93,1706.66,2169.52,5349.52,3331.98,2659.3,3512.05,4006.38,3258.49
2000-01,Growth Rate % (YoY),8.855887029,2.01404383,18.59802075,5.495003372,7.559859963,8.675324533,11.90650895,4.926569319,-0.243362955,5.66530546,6.053124417,6.861956832,5.428576024,11.40844297,8.617606459,12.50084203,7.012491,5.045553346,1.87854903
2001-02,Growth Rate % (YoY),12.51378871,10.04613723,11.89056563,-2.953578261,10.82770771,2.189167708,3.791694223,6.729158085,8.933592665,6.591080828,6.003463646,9.84559051,6.832606109,2.808966618,18.0663268,6.417875445,-4.083169997,14.47125121,7.424307338
2002-03,Growth Rate % (YoY),8.444354853,-0.488474988,-2.627344128,7.293363909,11.71997834,6.702618083,-2.576502688,-0.86890381,9.810943446,7.407607667,9.793880699,-7.104586206,7.184628237,21.02987836,9.690611519,9.120789981,9.424776399,7.273438201,5.495194802
2003-04,Growth Rate % (YoY),4.990677684,15.16900868,7.081873933,9.482318202,18.96604582,12.14525057,17.15747107,9.640207281,-1.996673759,3.454795126,5.232909861,23.0069065,10.99519689,1.891833383,-1.022953257,0.100548721,11.02157,6.370665599,4.446622182
2004-05,Growth Rate % (YoY),10.54342753,-0.345583382,12.24657764,7.012834673,12.50695385,-0.698279064,10.56669673,0.838751491,5.766021995,8.613083041,12.2258899,10.10783197,14.04006818,14.80054515,13.58718308,8.778444091,10.54752348,4.477725129,8.495303424
2005-06,Growth Rate % (YoY),5.528214984,9.268759021,5.432436186,-4.255361708,8.910924927,2.87468103,14.45050037,1.554834585,6.660422007,6.030489702,0.133846135,3.235601904,14.17985464,20.73621847,10.16557999,4.941852435,-0.300343777,7.706783593,5.540188635
