Year,Description,Amritsar,Bathinda,Faridkot,Fatehgarh Sahib,Firozpur,Gurdaspur,Hoshiarpur,Jalandhar,Kapurthala,Ludhiana,Mansa,Moga,Mukatsar,Patiala,Roopnagar,Sangrur, Shahid Bhagat Singh Nagar
1999-00,GDP (in Rs. Cr.),7705.34,2995.47,1577.58,1880.52,4847.81,4701.19,3530.46,5998.73,2187,9529.69,1652.84,2405.26,1881.46,5425.62,3184.72,5800.01,1872.53
2000-01,GDP (in Rs. Cr.),8112.76,3238.06,1633.15,1783.88,4783.22,4961.99,3530.85,5727.68,2388.6,10189.75,1694.06,2999.39,1939.7,5654.84,3175.94,6024.13,1998.16
2001-02,GDP (in Rs. Cr.),8377.52,3012.85,1632.17,1866.76,4717.66,5067.39,3712.09,5947.38,2319.55,10582.77,1625.93,3139.47,1983.29,5809.21,3361.79,6068.97,1948.85
2002-03,GDP (in Rs. Cr.),8621.1,3197.63,1647.02,1863.43,4754.13,5056.29,3796.03,6181.97,2394.54,10843.44,1721.91,3180.82,2042.61,5867.92,3431.72,6510.2,2061.62
2003-04,GDP (in Rs. Cr.),8988.86,3425.79,1750.01,2004.67,5244.09,5429.78,4029.1,6468.56,2532.68,11627.96,1883.56,3403.55,2204.68,6044.96,3323.07,6662.35,2188.24
2004-05,GDP (in Rs. Cr.),9541.56,3660.84,1842.05,2108.13,5408.22,5572.49,4207.21,6822.68,2643.78,12257.69,2011.1,3560.25,2387.57,6342.14,3507.08,7037.12,2319.48
2005-06,GDP (in Rs. Cr.),9840.66,3825.56,1942.85,2194.57,5676.41,5990.81,4562.65,7326.04,2809.73,13111.87,2087.49,3582.22,2518.93,6827.54,3699.51,7237.69,2494.76
2000-01,Growth Rate % (YoY),5.287501914,8.098562162,3.522483804,-5.139004105,-1.332354197,5.547531582,0.011046719,-4.518456407,9.218106996,6.926353323,2.493889306,24.7012797,3.095468413,4.224770625,-0.275691427,3.864131269,6.709104794
2001-02,Growth Rate % (YoY),3.263500954,-6.955090394,-0.060006735,4.646052425,-1.370624809,2.124147771,5.133041619,3.835758981,-2.890814703,3.857013175,-4.021699349,4.670282958,2.24725473,2.729873878,5.851810802,0.744339847,-2.467770349
2002-03,Growth Rate % (YoY),2.907543044,6.133063379,0.909831696,-0.178383938,0.773052742,-0.219047675,2.261259829,3.944425949,3.232954668,2.463154732,5.903083159,1.317101294,2.990989719,1.010636558,2.080141829,7.270261675,5.786489468
2003-04,Growth Rate % (YoY),4.265812947,7.13528457,6.25311168,7.579571006,10.30598658,7.386641193,6.139835565,4.635900854,5.768957712,7.234973403,9.387830955,7.00228243,7.934456406,3.017082714,-3.166050843,2.337101779,6.141772005
2004-05,Growth Rate % (YoY),6.148721862,6.861191141,5.259398518,5.160949184,3.129808985,2.628283282,4.420590206,5.474479637,4.386657612,5.415653305,6.771220455,4.604016395,8.295534953,4.916161563,5.537349499,5.625192312,5.997513984
2005-06,Growth Rate % (YoY),3.134707532,4.499513773,5.472164165,4.100316394,4.958932884,7.506877536,8.448354135,7.377745988,6.27699733,6.968523433,3.798418776,0.617091496,5.501828219,7.653568039,5.486900784,2.850171661,7.556866194
