Year,Description, Ajmer, Alwar, Banswara, Baran, Barmer, Bharatpur, Bhilwara, Bikaner, Bundi, Chittorgarh, Churu, Dausa, Dholpur, Dungarpur, Ganga Nagar, Hanumangarh, Jaipur, Jaisalmer, Jalore, Jhalawar, Jhunjhunu, Jodhpur, Karauli, Kota, Nagaur, Pali, Pratapgarh, Rajsamand, Sawai Madhopur, Sikar, Sirohi, Tonk, Udaipur
2004-05,GDP (in Rs. Cr.),5493.87,7742.03,2421.88,2729.69,3213.2,3643.34,6255.18,4160.15,2327.47,4014.97,2759.54,2036.35,1427.75,1838.49,4638.99,3577.26,17480.26,1122.41,2459.22,2538.14,3402.01,6640.08,2277.73,4564.14,4836.34,4038.62,NA,2217.31,2190.92,4363.38,2259.49,2447.85,6627.59
2005-06,GDP (in Rs. Cr.),6592.13,7742.57,2313.26,2952.26,3336.64,3967.7,5692.89,4138.5,2581.9,4298.68,2793.28,2143.22,1467.29,1819.24,5090.11,4062.44,19661.41,1634.2,2579.13,2430.15,3568.14,7451.28,2352.03,4857.33,5207.15,4659.98,NA,2508.67,2355.29,4465.79,2419.54,2517.7,6625.06
2006-07,GDP (in Rs. Cr.),7561.85,9045.13,2365.84,2842.88,3805.29,4350.16,7552.83,4467.51,2754.59,4834.47,3078.22,2306.14,1569.34,2049.5,5627.78,4340.83,22409.17,1367.18,2964.91,2791.86,3888.43,8252.85,2550.77,5205.05,5381.59,5528.59,NA,2918.57,2492.76,5116.44,2613.48,2525.46,7629.19
2007-08,GDP (in Rs. Cr.),8010.04,9357.61,2666.99,3121.79,4039.9,4382.61,7625.84,4843.96,2820.98,4718.41,3432.66,2443.27,1621.13,2265.93,5489.89,4667.09,23747.2,1441.14,3125.44,2718.78,3951.56,9028.95,2726.71,5751.7,5743.51,5750.38,NA,3094.77,2574.8,5259.51,2755.18,2825.51,8013.37
2008-09,GDP (in Rs. Cr.),8153.69,11010.98,2546.75,3159.01,4468.92,4668.91,8628,5592.95,2989.32,4008.91,3882.68,2622.49,1742.02,2224.78,7063.89,4931.21,26809.71,1630.64,3039.47,3094.12,4488.61,9286.78,2903.22,6009.68,6220.29,5694.15,1869.7,3278.41,2811.15,5879.3,2905.93,3163,7777.08
2009-10,GDP (in Rs. Cr.),8792.26,12190.1,2679.39,3369.6,4852.46,5130.27,9305.08,5624.78,3093.32,4072.68,3699.19,2835,1887.26,2409.72,6903.61,4757.89,30326.08,1761.05,3348.14,3308.28,4631.06,10175.58,3133.96,6442.9,6102.16,5979.96,2033.49,3656.38,3039.98,6160.2,3072.36,3096.65,8373.72
2005-06,Growth Rate % (YoY),19.99064412,0.006974915,-4.484945579,8.153673128,3.841653181,8.90281994,-8.98918976,-0.520413927,10.93161244,7.066304356,1.222667546,5.248115501,2.769392401,-1.04705492,9.724530555,13.56289451,12.47778923,45.59741984,4.875936272,-4.254690443,4.883289585,12.21672028,3.262019642,6.423773153,7.667161531,15.38545345,NA,13.14024651,7.502327789,2.347033722,7.083456886,2.853524522,-0.038173755
2006-07,Growth Rate % (YoY),14.71026815,16.82335452,2.272982717,-3.704958235,14.0455668,9.639337652,32.67127944,7.949981877,6.688485224,12.46405873,10.20091076,7.601646121,6.954998671,12.65693366,10.56303302,6.852778133,13.97539647,-16.33949333,14.95775707,14.8842664,8.976385456,10.75748059,8.449722155,7.158665357,3.350009122,18.63977957,NA,16.33933519,5.836648566,14.56965061,8.015573208,0.308217818,15.15654198
2007-08,Growth Rate % (YoY),5.926988766,3.454676716,12.72909411,9.810825642,6.165364532,0.745949574,0.966657531,8.426394121,2.410159044,-2.400676806,11.51444666,5.946299878,3.300113423,10.56013662,-2.450166851,7.516074115,5.970903876,5.40967539,5.414329609,-2.617609766,1.623534434,9.404024064,6.897525061,10.50230065,6.725150002,4.01169195,NA,6.037203151,3.291131116,2.796280226,5.421889588,11.88100386,5.035659094
2008-09,Growth Rate % (YoY),1.793374315,17.66872097,-4.50845335,1.192264694,10.61956979,6.532636945,13.14163423,15.46234899,5.967429758,-15.03684504,13.10994972,7.335251528,7.457144091,-1.816031387,28.67088412,5.659200915,12.89629935,13.14931235,-2.750652708,13.80545686,13.59083501,2.855592289,6.473369005,4.485282612,8.30119561,-0.97784842,NA,5.933882001,9.179353736,11.78417761,5.471511843,11.94439234,-2.94869699
2009-10,Growth Rate % (YoY),7.831668852,10.70858361,5.208206538,6.666329008,8.582386796,9.881535519,7.847473343,0.569109325,3.479052092,1.590706701,-4.725859458,8.10336741,8.337447331,8.312732045,-2.269004755,-3.514756013,13.11603147,7.997473385,10.15538893,6.921515649,3.17358826,9.570593898,7.947727007,7.208703292,-1.899107598,5.019361977,8.760228914,11.52906439,8.140085019,4.777779668,5.72725427,-2.097692064,7.671773982
